Day,Bar,Hour,Minute,Second
3,6,0,10,53
3,6,0,11,43
3,6,0,12,33
3,6,0,13,23
3,6,0,14,13
3,6,0,15,3
3,6,0,49,51
3,6,0,50,41
3,6,0,51,31
3,6,0,52,21
3,6,0,53,11
3,6,0,54,1
3,6,1,0,53
3,6,1,1,43
3,6,1,2,33
3,6,1,3,23
3,6,1,4,13
3,6,1,5,3
3,6,1,39,51
3,6,1,40,41
3,6,1,41,31
3,6,1,42,21
3,6,1,43,11
3,6,1,44,1
3,6,2,29,51
3,6,2,30,41
3,6,2,31,31
3,6,2,32,21
3,6,2,33,11
3,6,2,34,1
3,6,3,19,51
3,6,3,20,41
3,6,3,21,31
3,6,3,22,21
3,6,3,23,11
3,6,3,24,1
3,6,3,57,59
3,6,3,58,49
3,6,3,59,39
3,6,4,9,51
3,6,4,10,41
3,6,4,11,31
3,6,4,12,21
3,6,4,13,11
3,6,4,14,1
3,6,4,47,59
3,6,4,48,49
3,6,4,49,39
3,6,4,50,29
3,6,4,51,19
3,6,4,52,9
3,6,4,53,0
3,6,5,0,41
3,6,5,1,31
3,6,5,2,21
3,6,5,3,11
3,6,5,4,1
3,6,5,37,59
3,6,5,38,49
3,6,5,39,39
3,6,5,40,29
3,6,5,41,19
3,6,5,42,9
3,6,5,43,0
3,6,5,58,53
3,6,5,59,43
3,6,6,27,59
3,6,6,28,49
3,6,6,29,39
3,6,6,30,29
3,6,6,31,19
3,6,6,32,9
3,6,6,33,0
3,6,6,48,53
3,6,6,49,43
3,6,6,50,33
3,6,6,51,23
3,6,6,52,13
3,6,6,53,3
3,6,7,17,59
3,6,7,18,49
3,6,7,19,39
3,6,7,20,29
3,6,7,21,19
3,6,7,22,9
3,6,7,23,0
3,6,7,38,53
3,6,7,39,43
3,6,7,40,33
3,6,7,41,23
3,6,7,42,13
3,6,7,43,3
3,6,8,7,59
3,6,8,8,49
3,6,8,9,39
3,6,8,10,29
3,6,8,11,19
3,6,8,12,9
3,6,8,13,0
3,6,8,28,53
3,6,8,29,43
3,6,8,30,33
3,6,8,31,23
3,6,8,32,13
3,6,8,33,3
3,6,9,0,29
3,6,9,1,19
3,6,9,2,9
3,6,9,3,0
3,6,9,18,53
3,6,9,19,43
3,6,9,20,33
3,6,9,21,23
3,6,9,22,13
3,6,9,23,3
3,6,9,57,51
3,6,9,58,41
3,6,9,59,31
3,6,10,8,53
3,6,10,9,43
3,6,10,10,33
3,6,10,11,23
3,6,10,12,13
3,6,10,13,3
3,6,10,47,51
3,6,10,48,41
3,6,10,49,31
3,6,10,50,21
3,6,10,51,11
3,6,10,52,1
3,6,11,0,33
3,6,11,1,23
3,6,11,2,13
3,6,11,3,3
3,6,11,37,51
3,6,11,38,41
3,6,11,39,31
3,6,11,40,21
3,6,11,41,11
3,6,11,42,1
3,6,12,27,51
3,6,12,28,41
3,6,12,29,31
3,6,12,30,21
3,6,12,31,11
3,6,12,32,1
3,6,13,17,51
3,6,13,18,41
3,6,13,19,31
3,6,13,20,21
3,6,13,21,11
3,6,13,22,1
3,6,13,55,59
3,6,13,56,49
3,6,13,57,39
3,6,13,58,29
3,6,13,59,19
3,6,14,7,51
3,6,14,8,41
3,6,14,9,31
3,6,14,10,21
3,6,14,11,11
3,6,14,12,1
3,6,14,45,59
3,6,14,46,49
3,6,14,47,39
3,6,14,48,29
3,6,14,49,19
3,6,14,50,9
3,6,15,0,21
3,6,15,1,11
3,6,15,2,1
3,6,15,35,59
3,6,15,36,49
3,6,15,37,39
3,6,15,38,29
3,6,15,39,19
3,6,15,40,9
3,6,15,56,53
3,6,15,57,43
3,6,15,58,33
3,6,15,59,23
3,6,16,25,59
3,6,16,26,49
3,6,16,27,39
3,6,16,28,29
3,6,16,29,19
3,6,16,30,9
3,6,16,46,53
3,6,16,47,43
3,6,16,48,33
3,6,16,49,23
3,6,16,50,13
3,6,16,51,3
3,6,16,56,53
3,6,16,57,43
3,6,16,58,33
3,6,16,59,23
3,6,17,15,59
3,6,17,16,49
3,6,17,17,39
3,6,17,18,29
3,6,17,19,19
3,6,17,20,9
3,6,17,36,53
3,6,17,37,43
3,6,17,38,33
3,6,17,39,23
3,6,17,40,13
3,6,17,41,3
3,6,17,46,53
3,6,17,47,43
3,6,17,48,33
3,6,17,49,23
3,6,17,50,13
3,6,17,51,3
3,6,18,5,59
3,6,18,6,49
3,6,18,7,39
3,6,18,8,29
3,6,18,9,19
3,6,18,10,9
3,6,18,26,53
3,6,18,27,43
3,6,18,28,33
3,6,18,29,23
3,6,18,30,13
3,6,18,31,3
3,6,18,36,53
3,6,18,37,43
3,6,18,38,33
3,6,18,39,23
3,6,18,40,13
3,6,18,41,3
3,6,19,0,9
3,6,19,16,53
3,6,19,17,43
3,6,19,18,33
3,6,19,19,23
3,6,19,20,13
3,6,19,21,3
3,6,19,26,53
3,6,19,27,43
3,6,19,28,33
3,6,19,29,23
3,6,19,30,13
3,6,19,31,3
3,6,19,55,51
3,6,19,56,41
3,6,19,57,31
3,6,19,58,21
3,6,19,59,11
3,6,20,6,53
3,6,20,7,43
3,6,20,8,33
3,6,20,9,23
3,6,20,10,13
3,6,20,11,3
3,6,20,16,53
3,6,20,17,43
3,6,20,18,33
3,6,20,19,23
3,6,20,20,13
3,6,20,21,3
3,6,20,45,51
3,6,20,46,41
3,6,20,47,31
3,6,20,48,21
3,6,20,49,11
3,6,20,50,1
3,6,20,55,51
3,6,20,56,41
3,6,20,57,31
3,6,20,58,21
3,6,20,59,11
3,6,21,0,13
3,6,21,1,3
3,6,21,6,53
3,6,21,7,43
3,6,21,8,33
3,6,21,9,23
3,6,21,10,13
3,6,21,11,3
3,6,21,35,51
3,6,21,36,41
3,6,21,37,31
3,6,21,38,21
3,6,21,39,11
3,6,21,40,1
3,6,21,45,51
3,6,21,46,41
3,6,21,47,31
3,6,21,48,21
3,6,21,49,11
3,6,21,50,1
3,6,22,0,13
3,6,22,1,3
3,6,22,25,51
3,6,22,26,41
3,6,22,27,31
3,6,22,28,21
3,6,22,29,11
3,6,22,30,1
3,6,22,35,51
3,6,22,36,41
3,6,22,37,31
3,6,22,38,21
3,6,22,39,11
3,6,22,40,1
3,6,23,15,51
3,6,23,16,41
3,6,23,17,31
3,6,23,18,21
3,6,23,19,11
3,6,23,20,1
3,6,23,25,51
3,6,23,26,41
3,6,23,27,31
3,6,23,28,21
3,6,23,29,11
3,6,23,30,1
3,6,23,53,59
3,6,23,54,49
3,6,23,55,39
3,6,23,56,29
3,6,23,57,19
3,6,23,58,9
3,6,23,59,0
3,6,0,6,53
3,6,0,7,43
3,6,0,8,33
3,6,0,9,23
3,6,0,10,13
3,6,0,11,3
3,6,0,16,53
3,6,0,17,43
3,6,0,18,33
3,6,0,19,23
3,6,0,20,13
3,6,0,21,3
3,6,0,45,51
3,6,0,46,41
3,6,0,47,31
3,6,0,48,21
3,6,0,49,11
3,6,0,50,1
3,6,0,55,51
3,6,0,56,41
3,6,0,57,31
3,6,0,58,21
3,6,0,59,11
3,6,1,0,13
3,6,1,1,3
3,6,1,6,53
3,6,1,7,43
3,6,1,8,33
3,6,1,9,23
3,6,1,10,13
3,6,1,11,3
3,6,1,35,51
3,6,1,36,41
3,6,1,37,31
3,6,1,38,21
3,6,1,39,11
3,6,1,40,1
3,6,1,45,51
3,6,1,46,41
3,6,1,47,31
3,6,1,48,21
3,6,1,49,11
3,6,1,50,1
3,6,2,0,13
3,6,2,1,3
3,6,2,25,51
3,6,2,26,41
3,6,2,27,31
3,6,2,28,21
3,6,2,29,11
3,6,2,30,1
3,6,2,35,51
3,6,2,36,41
3,6,2,37,31
3,6,2,38,21
3,6,2,39,11
3,6,2,40,1
3,6,3,15,51
3,6,3,16,41
3,6,3,17,31
3,6,3,18,21
3,6,3,19,11
3,6,3,20,1
3,6,3,25,51
3,6,3,26,41
3,6,3,27,31
3,6,3,28,21
3,6,3,29,11
3,6,3,30,1
3,6,3,53,59
3,6,3,54,49
3,6,3,55,39
3,6,3,56,29
3,6,3,57,19
3,6,3,58,9
3,6,3,59,0
3,6,4,5,51
3,6,4,6,41
3,6,4,7,31
3,6,4,8,21
3,6,4,9,11
3,6,4,10,1
3,6,4,15,51
3,6,4,16,41
3,6,4,17,31
3,6,4,18,21
