Day,Bar,H,M,S
12,1,0,12,53
12,1,0,13,43
12,1,0,14,33
12,1,0,15,23
12,1,0,16,13
12,1,0,17,3
12,1,1,2,53
12,1,1,3,43
12,1,1,4,33
12,1,1,5,23
12,1,1,6,13
12,1,1,7,3
12,1,0,51,51
12,1,0,52,41
12,1,0,53,31
12,1,0,54,21
12,1,0,55,11
12,1,0,56,1
12,1,1,41,51
12,1,1,42,41
12,1,1,43,31
12,1,1,44,21
12,1,1,45,11
12,1,1,46,1
12,1,2,31,51
12,1,2,32,41
12,1,2,33,31
12,1,2,34,21
12,1,2,35,11
12,1,2,36,1
12,1,3,21,51
12,1,3,22,41
12,1,3,23,31
12,1,3,24,21
12,1,3,25,11
12,1,3,26,1
12,1,4,11,51
12,1,4,12,41
12,1,4,13,31
12,1,4,14,21
12,1,4,15,11
12,1,4,16,1
12,1,5,1,51
12,1,5,2,41
12,1,5,3,31
12,1,5,4,21
12,1,5,5,11
12,1,5,6,1
12,1,3,59,59
12,1,4,49,59
12,1,4,50,49
12,1,4,51,39
12,1,4,52,29
12,1,4,53,19
12,1,4,54,9
12,1,5,39,59
12,1,5,40,49
12,1,5,41,39
12,1,5,42,29
12,1,5,43,19
12,1,5,44,9
12,1,6,29,59
12,1,6,30,49
12,1,6,31,39
12,1,6,32,29
12,1,6,33,19
12,1,6,34,9
12,1,7,19,59
12,1,7,20,49
12,1,7,21,39
12,1,7,22,29
12,1,7,23,19
12,1,7,24,9
12,1,8,9,59
12,1,8,10,49
12,1,8,11,39
12,1,8,12,29
12,1,8,13,19
12,1,8,14,9
12,1,9,0,49
12,1,9,1,39
12,1,9,2,29
12,1,9,3,19
12,1,9,4,9
12,1,6,50,53
12,1,6,51,43
12,1,6,52,33
12,1,6,53,23
12,1,6,54,13
12,1,6,55,3
12,1,7,40,53
12,1,7,41,43
12,1,7,42,33
12,1,7,43,23
12,1,7,44,13
12,1,7,45,3
12,1,8,30,53
12,1,8,31,43
12,1,8,32,33
12,1,8,33,23
12,1,8,34,13
12,1,8,35,3
12,1,9,20,53
12,1,9,21,43
12,1,9,22,33
12,1,9,23,23
12,1,9,24,13
12,1,9,25,3
12,1,10,10,53
12,1,10,11,43
12,1,10,12,33
12,1,10,13,23
12,1,10,14,13
12,1,10,15,3
12,1,11,0,53
12,1,11,1,43
12,1,11,2,33
12,1,11,3,23
12,1,11,4,13
12,1,11,5,3
12,1,9,59,51
12,1,10,49,51
12,1,10,50,41
12,1,10,51,31
12,1,10,52,21
12,1,10,53,11
12,1,10,54,1
12,1,11,39,51
12,1,11,40,41
12,1,11,41,31
12,1,11,42,21
12,1,11,43,11
12,1,11,44,1
12,1,12,29,51
12,1,12,30,41
12,1,12,31,31
12,1,12,32,21
12,1,12,33,11
12,1,12,34,1
12,1,13,19,51
12,1,13,20,41
12,1,13,21,31
12,1,13,22,21
12,1,13,23,11
12,1,13,24,1
12,1,14,9,51
12,1,14,10,41
12,1,14,11,31
12,1,14,12,21
12,1,14,13,11
12,1,14,14,1
12,1,15,0,41
12,1,15,1,31
12,1,15,2,21
12,1,15,3,11
12,1,15,4,1
12,1,13,57,59
12,1,13,58,49
12,1,13,59,39
12,1,14,47,59
12,1,14,48,49
12,1,14,49,39
12,1,14,50,29
12,1,14,51,19
12,1,14,52,9
12,1,14,53,0
12,1,15,37,59
12,1,15,38,49
12,1,15,39,39
12,1,15,40,29
12,1,15,41,19
12,1,15,42,9
12,1,15,43,0
12,1,16,27,59
12,1,16,28,49
12,1,16,29,39
12,1,16,30,29
12,1,16,31,19
12,1,16,32,9
12,1,16,33,0
12,1,17,17,59
12,1,17,18,49
12,1,17,19,39
12,1,17,20,29
12,1,17,21,19
12,1,17,22,9
12,1,17,23,0
12,1,18,7,59
12,1,18,8,49
12,1,18,9,39
12,1,18,10,29
12,1,18,11,19
12,1,18,12,9
12,1,18,13,0
12,1,19,0,29
12,1,19,1,19
12,1,19,2,9
12,1,19,3,0
12,1,15,58,53
12,1,15,59,43
12,1,16,48,53
12,1,16,49,43
12,1,16,50,33
12,1,16,51,23
12,1,16,52,13
12,1,16,53,3
12,1,17,38,53
12,1,17,39,43
12,1,17,40,33
12,1,17,41,23
12,1,17,42,13
12,1,17,43,3
12,1,18,28,53
12,1,18,29,43
12,1,18,30,33
12,1,18,31,23
12,1,18,32,13
12,1,18,33,3
12,1,19,18,53
12,1,19,19,43
12,1,19,20,33
12,1,19,21,23
12,1,19,22,13
